Time (days),pir2 (upwelling)
93.06041667,261.8
93.06111111,261.9
93.06180556,261.1
93.0625,259.3
93.06319444,258.6
93.06388889,258.7
93.06458333,258.2
93.06527778,257.9
93.06597222,257.9
93.06666667,258
93.06736111,258.1
93.06805556,258.1
93.06875,257.7
93.06944444,257.4
93.07013889,257.2
93.07083333,257.3
93.07152778,257.4
93.07222222,257.4
93.07291667,257.5
93.07361111,257.5
93.07430556,257.2
93.075,257.2
93.07569444,257.2
93.07638889,256.8
93.07708333,256.6
93.07777778,256.6
93.07847222,256.3
93.07916667,256.4
93.07986111,256.5
93.08055556,256.8
93.08125,257.2
93.08194444,257.3
93.08263889,257.7
93.08333333,257.7
93.08402778,257.7
93.08472222,257.5
93.08541667,257.4
93.08611111,257.5
93.08680556,257.5
93.0875,257.4
93.08819444,257.3
93.08888889,257.2
93.08958333,257.2
93.09027778,257.2
93.09097222,257.1
93.09166667,257.6
93.09236111,258.5
93.09305556,259.1
93.09375,259.4
93.09444444,259.7
93.09513889,259.9
93.09583333,259.8
93.09652778,259.8
93.09722222,259.7
93.09791667,259.8
93.09861111,260.2
93.09930556,260.5
93.1,260.6
93.10069444,260.7
93.10138889,260.8
93.10208333,260.4
93.10277778,259.8
93.10347222,260
93.10416667,259.3
93.10486111,258.9
93.10555556,258.7
93.10625,258.9
93.10694444,258.6
93.10763889,258.7
93.10833333,258.4
93.10902778,258.6
93.10972222,258.3
93.11041667,257.7
93.11111111,257.7
93.11180556,257.7
93.1125,257
93.11319444,256.7
93.11388889,256.5
93.11458333,255.9
93.11527778,255.6
93.11597222,255.6
93.11666667,255.9
93.11736111,255.7
93.11805556,255.7
93.11875,255.6
93.11944444,255.6
93.12013889,255.6
93.12083333,255.4
93.12152778,255.6
93.12222222,255.6
93.12291667,255.6
93.12361111,256.3
93.12430556,257.5
93.125,259
93.12569444,259.4
93.12638889,259.8
93.12708333,260.3
93.12777778,260.5
93.12847222,260.8
93.12916667,261
93.12986111,261.3
93.13055556,261.3
93.13125,261.3
93.13194444,261.3
93.13263889,261.6
93.13333333,261.7
93.13402778,261.5
93.13472222,261.9
93.13541667,261.9
93.13611111,261.9
93.13680556,261.9
93.1375,261.9
93.13819444,261.8
93.13888889,261.9
93.13958333,261.7
93.14027778,261.4
93.14097222,261.5
93.14166667,261.6
93.14236111,261.5
93.14305556,261.5
93.14375,261.5
93.14444444,261.4
93.14513889,261.3
93.14583333,261.4
93.14652778,261.3
93.14722222,261.7
93.14791667,261.7
93.14861111,261.5
93.14930556,261.4
93.15,261.6
93.15069444,261.9
93.15138889,261.7
93.15208333,261.4
93.15277778,261.3
93.15347222,261.2
93.15416667,261.4
93.15486111,261.5
93.15555556,261.9
93.15625,261.9
93.15694444,261.8
93.15763889,261.9
93.15833333,261.8
93.15902778,261.9
93.15972222,262
93.16041667,262.3
93.16111111,262.2
93.16180556,261.9
93.1625,261.9
93.16319444,261.9
93.16388889,261.9
